depth (cm),age (yr BP) 2.5%,age (yr BP) 50%,age (yr BP) 97.5%
536,837.9642853468767,867.9388753056261,898.9482970025806
537,840.2363225979847,870.6017982018034,902.0867111914947
538,842.4667637551379,872.9677419354889,904.4838709677446
539,845.5715944272456,876.582043343655,907.5820433436551
540,848.3830083565467,879.3830083565474,910.5055787094984
541,850.4186046511635,881.4186046511642,912.5531281032779
542,851.194897236003,882.1948972360033,913.389794472006
543,851.5492558469173,882.5492558469175,914.0985116938344
544,851.9036144578315,882.9036144578317,914.8072289156629
545,853.0098603122456,884.0098603122448,916.0049301561224
546,854.5087935648929,884.846454640794,916.8266228430575
547,856.2261306532735,887.613065326637,919.2317839196029
548,858.1095483359763,889.1109350237764,921.0687479530778
549,860.3401458517542,890.8400974025985,922.6722129783701
550,863.0442211055289,895.0442211055285,927.0442211055282
551,864.1002330398783,896.0253754531338,928.0507509062674
552,866.0614836872089,896.8824567106365,929.0864836872103
553,866.8037810126636,897.8609455701242,930.412798634819
554,870.8495923913056,901.853260869568,934.7101902173953
555,872.7295081967231,903.7295081967236,936.8325709594195
556,873.6195574589586,904.6195574589585,937.6220145256613
557,875.3271186440685,906.3271186440693,939.3352966101703
558,876.9013452914807,908.7857142857172,941.7886050608605
559,878.8113006630778,910.4100000000019,943.8305866983436
560,880.6000000000016,912.600000000002,946.6000000000009
561,881.9522613065338,913.9728765167744,947.9522613065334
562,884.1661442006298,916.5845760377742,951.166767312845
563,886.225178147279,918.43850585214,952.250178147279
564,890.3568973537829,922.7164556962061,955.9514329782695
565,893.3341160221016,924.9610492407552,959.3841160221102
566,895.5367606284668,927.5480591497235,962.5480591497233
567,897.1342706428354,929.1464872944707,964.150149476834
568,899.023899755504,931.0488997555037,966.1227995110122
569,901.3052811353525,933.6389937106945,969.3317546294578
570,903.8215350963053,935.9216867469902,971.8433734939788
571,906.2352817357528,938.5181347150276,974.0413723096901
572,907.3701448228293,940.0419016921848,976.0419016921845
573,907.9010471204194,940.8477034649486,976.8477034649484
574,911.0497899159727,943.050420168074,979.1245798319454
575,913.7644011499099,946.5547945205496,982.7894011499101
576,915.4136622390923,948.4136622390912,984.7398972112745
577,917.4470588235315,950.4470588235312,986.9105087186584
578,918.5881753312963,951.5881753312959,988.5881753312952
579,919.77102199224,952.7710219922398,989.5888514639894
580,922.2885154061645,955.5036674816656,992.0030538353228
581,923.9335863377623,957.9335863377639,994.8671726755219
582,924.9767206477738,958.9767206477748,995.9767206477734
583,927.7909272392967,961.2765957446844,998.1570417971712
584,931.5529414854518,965.0438596491267,1002.0438596491248
585,933.4834254143682,967.4834254143667,1004.4834254143661
586,936.2581571885229,970.2613240418127,1006.5793662477572
587,938.1176470588259,972.1176470588257,1009.235294117655
588,941.2365760851147,975.4182305630054,1012.4286863270809
589,944.1872061548336,978.281316348196,1015.2883492569006
590,945.7760704419933,979.8922651933716,1016.9536040413108
591,948.2869955157016,982.286995515699,1019.292040130053
592,952.2372746900409,986.4371134020631,1022.462113402064
593,953.8583234946881,988.7309417040377,1025.4686098654722
594,956.5331695331736,991.5331695331714,1028.5331695331704
595,959.2730015082976,994.2149916474707,1031.2730015082961
